지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa)
108,서울,2020-04-01 00:00,11.6,,3.9,320,38,1004.8
108,서울,2020-04-01 01:00,11.3,,4.4,320,44,1004.7
108,서울,2020-04-01 02:00,11,,3.1,290,42,1004.1
108,서울,2020-04-01 03:00,11.1,,2.4,320,36,1003.8
108,서울,2020-04-01 04:00,10.6,,3.3,290,39,1003.5
108,서울,2020-04-01 05:00,10.1,,3.5,290,40,1003.6
108,서울,2020-04-01 06:00,9.7,,3.3,290,38,1003.6
108,서울,2020-04-01 07:00,9.4,,3.5,320,34,1003.9
108,서울,2020-04-01 08:00,9.5,,4.3,320,33,1003.9
108,서울,2020-04-01 09:00,10.4,,3.7,290,31,1004.3
108,서울,2020-04-01 10:00,11.4,,4.4,320,29,1004.6
108,서울,2020-04-01 11:00,13.2,,4,320,28,1004.3
108,서울,2020-04-01 12:00,15,,3.3,290,26,1003.3
108,서울,2020-04-01 13:00,16.9,,3.4,250,28,1002.2
108,서울,2020-04-01 14:00,17.2,,4.3,290,25,1001.5
108,서울,2020-04-01 15:00,16.7,,4.5,250,24,1001.5
108,서울,2020-04-01 16:00,15.2,,6,250,21,1001.7
108,서울,2020-04-01 17:00,14.3,,4.9,290,19,1002
108,서울,2020-04-01 18:00,13.1,,4.6,290,18,1002.7
108,서울,2020-04-01 19:00,12.3,,2.9,290,18,1003.7
108,서울,2020-04-01 20:00,9.8,,4.8,50,47,1006.4
108,서울,2020-04-01 21:00,8.1,,5.1,70,54,1007.3
108,서울,2020-04-01 22:00,7.2,,3.7,90,54,1008.4
108,서울,2020-04-01 23:00,6.7,,1.3,20,55,1009.4
108,서울,2020-04-02 00:00,6,,1.1,50,58,1009.6
108,서울,2020-04-02 01:00,5.5,,1.2,360,58,1009.8
108,서울,2020-04-02 02:00,5.5,,1.1,320,58,1010.6
108,서울,2020-04-02 03:00,5,,.1,0,61,1010.4
108,서울,2020-04-02 04:00,4.7,,0,0,60,1010.7
108,서울,2020-04-02 05:00,4,,1.3,70,65,1011.1
108,서울,2020-04-02 06:00,3.5,,1.8,20,68,1011.5
108,서울,2020-04-02 07:00,3.6,,1.6,20,67,1011.9
108,서울,2020-04-02 08:00,5.4,,1.8,20,56,1012.4
108,서울,2020-04-02 09:00,8.1,,.6,50,49,1012.7
108,서울,2020-04-02 10:00,10.3,,0,0,41,1012.9
108,서울,2020-04-02 11:00,12.3,,2.6,200,33,1012.5
108,서울,2020-04-02 12:00,14.1,,3.3,250,24,1012.2
108,서울,2020-04-02 13:00,15,,4.3,250,27,1011.7
108,서울,2020-04-02 14:00,15.4,,2.5,290,25,1011.3
108,서울,2020-04-02 15:00,14.5,,4.4,290,19,1011.1
108,서울,2020-04-02 16:00,14.2,,4.8,250,27,1010.7
108,서울,2020-04-02 17:00,13.4,,4,250,18,1010.7
108,서울,2020-04-02 18:00,12.4,,3,250,18,1010.8
108,서울,2020-04-02 19:00,11.2,,3.7,290,26,1011.1
108,서울,2020-04-02 20:00,10,,4,270,34,1011.4
108,서울,2020-04-02 21:00,9.4,,3.5,270,36,1012
108,서울,2020-04-02 22:00,8.6,,2.3,290,44,1012.1
108,서울,2020-04-02 23:00,8,,1.7,270,52,1011.8
108,서울,2020-04-03 00:00,7.2,,1,270,56,1011.7
108,서울,2020-04-03 01:00,6.9,,.7,340,58,1011.8
108,서울,2020-04-03 02:00,6.1,,.7,340,61,1011.9
108,서울,2020-04-03 03:00,5.9,,.5,320,65,1012.2
108,서울,2020-04-03 04:00,6,,1.8,270,79,1012.2
108,서울,2020-04-03 05:00,5.4,,.6,270,80,1012.1
108,서울,2020-04-03 06:00,6.1,,1.8,230,82,1012.4
108,서울,2020-04-03 07:00,6.5,,1.8,230,79,1012.7
108,서울,2020-04-03 08:00,6.9,,2.2,230,72,1012.9
108,서울,2020-04-03 09:00,8.6,,1.5,180,63,1012.8
108,서울,2020-04-03 10:00,10.4,,1.8,230,53,1012.7
108,서울,2020-04-03 11:00,12.1,,2.3,200,50,1012.2
108,서울,2020-04-03 12:00,13.2,,3.7,250,40,1011.4
108,서울,2020-04-03 13:00,15.3,,3.3,230,32,1010.5
108,서울,2020-04-03 14:00,15.6,,3.6,270,25,1009.5
108,서울,2020-04-03 15:00,16.1,,4.2,270,25,1008.7
108,서울,2020-04-03 16:00,15.6,,4.7,250,28,1008.2
108,서울,2020-04-03 17:00,14.5,,4.7,270,25,1008.5
